Date,Package Name,Daily Average Rating,Total Average Rating
2021-11-01,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-11-02,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-03,com.vansteinengroentjes.apps.ddfive,3.00,4.14
2021-11-04,com.vansteinengroentjes.apps.ddfive,4.00,4.14
2021-11-05,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-06,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-07,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-08,com.vansteinengroentjes.apps.ddfive,3.00,4.14
2021-11-09,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-11-10,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-11,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-12,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-13,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-11-14,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-15,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-16,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-17,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-18,com.vansteinengroentjes.apps.ddfive,3.00,4.14
2021-11-19,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-20,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-21,com.vansteinengroentjes.apps.ddfive,2.00,4.14
2021-11-22,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-23,com.vansteinengroentjes.apps.ddfive,1.00,4.14
2021-11-24,com.vansteinengroentjes.apps.ddfive,3.00,4.14
2021-11-25,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-11-26,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-11-27,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-28,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-29,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-11-30,com.vansteinengroentjes.apps.ddfive,NA,4.14
